bpmag-Gmag,bpmag-rpmag,bpmag-Jmag,bpmag-Hmag,bpmag-Kmag,bpmag-W1mag,bpmag-W2mag,Gmag-rpmag,Gmag-Jmag,Gmag-Hmag,Gmag-Kmag,Gmag-W1mag,Gmag-W2mag,rpmag-Jmag,rpmag-Hmag,rpmag-Kmag,rpmag-W1mag,rpmag-W2mag,Jmag-Hmag,Jmag-Kmag,Jmag-W1mag,Jmag-W2mag,Hmag-Kmag,Hmag-W1mag,Hmag-W2mag,Kmag-W1mag,Kmag-W2mag,W1mag-W2mag,class
0.0384,0.1086,0.3417,0.4157,0.5897,0.6277,0.8667,0.0702,0.3033,0.3773,0.5513,0.5893,0.8283,0.2331,0.3071,0.4811,0.5191,0.7581,0.0740,0.2480,0.2860,0.5250,0.1740,0.2120,0.4510,0.0380,0.2770,0.2390,B
0.0266,0.0985,-0.1512,-0.1802,-0.1292,0.8968,1.1518,0.0718,-0.1779,-0.2069,-0.1559,0.8701,1.1251,-0.2497,-0.2787,-0.2277,0.7983,1.0533,-0.0290,0.0220,1.0480,1.3030,0.0510,1.0770,1.3320,1.0260,1.2810,0.2550,B
0.1965,0.5247,0.9200,0.9690,1.0420,1.0250,1.0190,0.3281,0.7235,0.7725,0.8455,0.8285,0.8225,0.3953,0.4443,0.5173,0.5003,0.4943,0.0490,0.1220,0.1050,0.0990,0.0730,0.0560,0.0500,-0.0170,-0.0230,-0.0060,B
0.2276,0.5836,0.9944,1.1064,1.1444,1.3094,1.4164,0.3560,0.7669,0.8789,0.9169,1.0819,1.1889,0.4108,0.5228,0.5608,0.7258,0.8328,0.1120,0.1500,0.3150,0.4220,0.0380,0.2030,0.3100,0.1650,0.2720,0.1070,B
0.0165,0.0159,0.1044,0.1134,0.1834,0.2324,0.3514,-0.0006,0.0879,0.0969,0.1669,0.2159,0.3349,0.0885,0.0975,0.1675,0.2165,0.3355,0.0090,0.0790,0.1280,0.2470,0.0700,0.1190,0.2380,0.0490,0.1680,0.1190,B
0.0875,0.2763,0.4433,0.5143,0.6923,0.8793,1.1113,0.1889,0.3558,0.4268,0.6048,0.7918,1.0238,0.1670,0.2380,0.4160,0.6030,0.8350,0.0710,0.2490,0.4360,0.6680,0.1780,0.3650,0.5970,0.1870,0.4190,0.2320,B
0.0876,0.2282,0.4035,0.4285,0.4455,0.5455,0.5495,0.1406,0.3159,0.3409,0.3579,0.4579,0.4619,0.1753,0.2003,0.2173,0.3173,0.3213,0.0250,0.0420,0.1420,0.1460,0.0170,0.1170,0.1210,0.1000,0.1040,0.0040,B
-0.0847,-0.2393,-0.2224,-0.2543,-0.0893,0.1346,0.5026,-0.1546,-0.1376,-0.1696,-0.0046,0.2194,0.5874,0.0170,-0.0150,0.1500,0.3740,0.7420,-0.0320,0.1330,0.3570,0.7250,0.1650,0.3890,0.7570,0.2240,0.5920,0.3680,B
0.4876,1.1354,1.9241,2.1341,2.3081,2.7761,2.9461,0.6478,1.4365,1.6465,1.8205,2.2885,2.4585,0.7887,0.9987,1.1727,1.6407,1.8107,0.2100,0.3840,0.8520,1.0220,0.1740,0.6420,0.8120,0.4680,0.6380,0.1700,B
0.5835,1.3460,1.9758,2.3388,2.4698,2.4538,2.4218,0.7625,1.3923,1.7553,1.8863,1.8703,1.8383,0.6299,0.9929,1.1239,1.1079,1.0759,0.3630,0.4940,0.4780,0.4460,0.1310,0.1150,0.0830,-0.0160,-0.0480,-0.0320,B
0.2975,0.7505,1.2582,1.3502,1.4642,1.5762,1.4772,0.4530,0.9608,1.0528,1.1668,1.2788,1.1798,0.5078,0.5998,0.7138,0.8258,0.7268,0.0920,0.2060,0.3180,0.2190,0.1140,0.2260,0.1270,0.1120,0.0130,-0.0990,B
0.2072,0.6598,1.4035,1.8735,2.2675,2.7165,3.0175,0.4526,1.1962,1.6662,2.0602,2.5092,2.8102,0.7437,1.2137,1.6077,2.0567,2.3577,0.4700,0.8640,1.3130,1.6140,0.3940,0.8430,1.1440,0.4490,0.7500,0.3010,B
-0.0335,-0.1069,-0.3928,-0.4798,-0.5068,-0.5088,-0.5638,-0.0734,-0.3594,-0.4464,-0.4734,-0.4754,-0.5304,-0.2860,-0.3730,-0.4000,-0.4020,-0.4570,-0.0870,-0.1140,-0.1160,-0.1710,-0.0270,-0.0290,-0.0840,-0.0020,-0.0570,-0.0550,B
-0.0098,-0.0428,-0.1528,-0.2178,-0.2208,-0.2498,-0.2378,-0.0329,-0.1430,-0.2080,-0.2110,-0.2400,-0.2280,-0.1100,-0.1750,-0.1780,-0.2070,-0.1950,-0.0650,-0.0680,-0.0970,-0.0850,-0.0030,-0.0320,-0.0200,-0.0290,-0.0170,0.0120,B
0.1631,0.4420,0.7290,0.8120,0.9980,1.2670,1.5600,0.2790,0.5659,0.6489,0.8349,1.1039,1.3969,0.2869,0.3699,0.5559,0.8249,1.1179,0.0830,0.2690,0.5380,0.8310,0.1860,0.4550,0.7480,0.2690,0.5620,0.2930,B
0.0075,0.0316,0.0866,0.1056,0.3006,0.6526,0.8626,0.0241,0.0791,0.0981,0.2931,0.6451,0.8551,0.0550,0.0740,0.2690,0.6210,0.8310,0.0190,0.2140,0.5660,0.7760,0.1950,0.5470,0.7570,0.3520,0.5620,0.2100,B
0.2629,0.7128,1.2723,1.4403,1.5553,1.8263,2.0033,0.4499,1.0094,1.1774,1.2924,1.5634,1.7404,0.5595,0.7275,0.8425,1.1135,1.2905,0.1680,0.2830,0.5540,0.7310,0.1150,0.3860,0.5630,0.2710,0.4480,0.1770,B
0.1896,0.4941,1.1288,1.2828,1.5308,1.7018,2.0798,0.3045,0.9392,1.0932,1.3412,1.5122,1.8902,0.6347,0.7887,1.0367,1.2077,1.5857,0.1540,0.4020,0.5730,0.9510,0.2480,0.4190,0.7970,0.1710,0.5490,0.3780,B
0.0246,0.0845,0.1857,0.2427,0.2837,0.4047,0.4157,0.0599,0.1611,0.2181,0.2591,0.3801,0.3911,0.1012,0.1582,0.1992,0.3202,0.3312,0.0570,0.0980,0.2190,0.2300,0.0410,0.1620,0.1730,0.1210,0.1320,0.0110,B
0.0207,0.0584,0.0961,0.1311,0.2001,0.4401,0.6081,0.0377,0.0754,0.1104,0.1794,0.4194,0.5874,0.0377,0.0727,0.1417,0.3817,0.5497,0.0350,0.1040,0.3440,0.5120,0.0690,0.3090,0.4770,0.2400,0.4080,0.1680,B
0.1531,0.4138,0.7060,0.9420,1.1280,1.2500,1.8580,0.2607,0.5529,0.7889,0.9749,1.0969,1.7049,0.2923,0.5283,0.7143,0.8363,1.4443,0.2360,0.4220,0.5440,1.1520,0.1860,0.3080,0.9160,0.1220,0.7300,0.6080,B
0.0469,0.1310,0.2621,0.2181,0.2661,0.4561,0.5401,0.0841,0.2152,0.1712,0.2192,0.4092,0.4932,0.1311,0.0871,0.1351,0.3251,0.4091,-0.0440,0.0040,0.1940,0.2780,0.0480,0.2380,0.3220,0.1900,0.2740,0.0840,B
-0.0498,0.0829,0.2885,0.4535,0.7085,0.6195,0.5235,0.1326,0.3383,0.5033,0.7583,0.6693,0.5733,0.2057,0.3707,0.6257,0.5367,0.4407,0.1650,0.4200,0.3310,0.2350,0.2550,0.1660,0.0700,-0.0890,-0.1850,-0.0960,B
0.1890,0.4838,0.8492,0.9072,1.0142,1.0912,1.2632,0.2948,0.6603,0.7183,0.8253,0.9023,1.0743,0.3655,0.4235,0.5305,0.6075,0.7795,0.0580,0.1650,0.2420,0.4140,0.1070,0.1840,0.3560,0.0770,0.2490,0.1720,B
0.4021,0.9967,1.7604,2.0794,2.3974,2.7614,3.0504,0.5946,1.3583,1.6773,1.9953,2.3593,2.6483,0.7637,1.0827,1.4007,1.7647,2.0537,0.3190,0.6370,1.0010,1.2900,0.3180,0.6820,0.9710,0.3640,0.6530,0.2890,B
0.1231,0.3300,0.0260,0.1010,0.2800,0.9440,1.1460,0.2069,-0.0971,-0.0221,0.1569,0.8209,1.0229,-0.3040,-0.2290,-0.0500,0.6140,0.8160,0.0750,0.2540,0.9180,1.1200,0.1790,0.8430,1.0450,0.6640,0.8660,0.2020,B
0.2396,0.6308,1.1271,1.2701,1.3571,1.3991,1.3431,0.3912,0.8875,1.0305,1.1175,1.1595,1.1035,0.4963,0.6393,0.7263,0.7683,0.7123,0.1430,0.2300,0.2720,0.2160,0.0870,0.1290,0.0730,0.0420,-0.0140,-0.0560,B
